snr_db,seed,classifier,full_120,bot40,gain
clean,0,SVM-RBF,0.7893368010403121,0.9895968790637191,0.20026007802340695
clean,0,LinearSVM,0.846553966189857,0.893368010403121,0.04681404421326396
clean,0,LR,0.846553966189857,0.988296488946684,0.14174252275682697
clean,0,KNN,0.8595578673602081,0.9934980494148244,0.13394018205461633
clean,1,SVM-RBF,0.7893368010403121,0.9895968790637191,0.20026007802340695
clean,1,LinearSVM,0.846553966189857,0.893368010403121,0.04681404421326396
clean,1,LR,0.846553966189857,0.988296488946684,0.14174252275682697
clean,1,KNN,0.8595578673602081,0.9934980494148244,0.13394018205461633
clean,2,SVM-RBF,0.7893368010403121,0.9895968790637191,0.20026007802340695
clean,2,LinearSVM,0.846553966189857,0.893368010403121,0.04681404421326396
clean,2,LR,0.846553966189857,0.988296488946684,0.14174252275682697
clean,2,KNN,0.8595578673602081,0.9934980494148244,0.13394018205461633
20,0,SVM-RBF,0.3068920676202861,0.9193758127438232,0.6124837451235371
20,0,LinearSVM,0.8413524057217165,0.8556566970091027,0.014304291287386195
20,0,LR,0.846553966189857,0.9037711313394018,0.05721716514954478
20,0,KNN,0.7893368010403121,0.9271781534460338,0.1378413524057217
20,1,SVM-RBF,0.30039011703511054,0.9193758127438232,0.6189856957087126
20,1,LinearSVM,0.8413524057217165,0.8608582574772432,0.01950585175552666
20,1,LR,0.846553966189857,0.8985695708712613,0.052015604681404315
20,1,KNN,0.788036410923277,0.9323797139141743,0.14434330299089726
20,2,SVM-RBF,0.305591677503251,0.9206762028608583,0.6150845253576073
20,2,LinearSVM,0.8439531859557867,0.8595578673602081,0.015604681404421394
20,2,LR,0.846553966189857,0.8972691807542262,0.050715214564369226
20,2,KNN,0.7841352405721717,0.9323797139141743,0.14824447334200264
10,0,SVM-RBF,0.07672301690507152,0.9596879063719116,0.88296488946684
10,0,LinearSVM,0.08322496749024708,0.953185955786736,0.8699609882964889
10,0,LR,0.2106631989596879,0.9934980494148244,0.7828348504551366
10,0,KNN,0.07672301690507152,0.9895968790637191,0.9128738621586475
10,1,SVM-RBF,0.07672301690507152,0.9154746423927178,0.8387516254876463
10,1,LinearSVM,0.07802340702210664,0.9375812743823146,0.859557867360208
10,1,LR,0.19375812743823148,0.9921976592977894,0.7984395318595578
10,1,KNN,0.07672301690507152,0.9843953185955787,0.9076723016905072
10,2,SVM-RBF,0.07672301690507152,0.9609882964889467,0.8842652795838751
10,2,LinearSVM,0.07932379713914174,0.9557867360208062,0.8764629388816645
10,2,LR,0.19505851755526657,0.9934980494148244,0.7984395318595578
10,2,KNN,0.07672301690507152,0.9908972691807543,0.9141742522756827
5,0,SVM-RBF,0.07672301690507152,0.9596879063719116,0.88296488946684
5,0,LinearSVM,0.07672301690507152,0.8530559167750326,0.776332899869961
5,0,LR,0.10663198959687907,0.9752925877763329,0.8686605981794538
5,0,KNN,0.07672301690507152,0.9336801040312094,0.8569570871261378
5,1,SVM-RBF,0.07672301690507152,0.9817945383615084,0.9050715214564369
5,1,LinearSVM,0.07672301690507152,0.8751625487646294,0.7984395318595578
5,1,LR,0.10533159947984395,0.9674902470741222,0.8621586475942783
5,1,KNN,0.07672301690507152,0.9752925877763329,0.8985695708712613
5,2,SVM-RBF,0.07672301690507152,0.9895968790637191,0.9128738621586475
5,2,LinearSVM,0.07672301690507152,0.8751625487646294,0.7984395318595578
5,2,LR,0.10533159947984395,0.976592977893368,0.871261378413524
5,2,KNN,0.07672301690507152,0.9726918075422627,0.8959687906371911
0,0,SVM-RBF,0.07672301690507152,0.8088426527958388,0.7321196358907672
0,0,LinearSVM,0.07672301690507152,0.7698309492847855,0.6931079323797139
0,0,LR,0.0988296488946684,0.8504551365409623,0.7516254876462939
0,0,KNN,0.07672301690507152,0.8777633289986996,0.801040312093628
0,1,SVM-RBF,0.07672301690507152,0.7932379713914174,0.7165149544863458
0,1,LinearSVM,0.07672301690507152,0.7672301690507152,0.6905071521456436
0,1,LR,0.09232769830949285,0.8322496749024707,0.7399219765929779
0,1,KNN,0.07672301690507152,0.8686605981794538,0.7919375812743823
0,2,SVM-RBF,0.07672301690507152,0.8075422626788037,0.7308192457737321
0,2,LinearSVM,0.07672301690507152,0.7750325097529259,0.6983094928478544
0,2,LR,0.09362808842652796,0.8400520156046815,0.7464239271781535
0,2,KNN,0.07672301690507152,0.8699609882964889,0.7932379713914174
-5,0,SVM-RBF,0.07672301690507152,0.29128738621586475,0.21456436931079323
-5,0,LinearSVM,0.07672301690507152,0.19115734720416125,0.11443433029908973
-5,0,LR,0.08972691807542263,0.5136540962288687,0.42392717815344605
-5,0,KNN,0.07672301690507152,0.5539661898569571,0.47724317295188556
-5,1,SVM-RBF,0.07672301690507152,0.2743823146944083,0.1976592977893368
-5,1,LinearSVM,0.07672301690507152,0.1859557867360208,0.10923276983094929
-5,1,LR,0.08712613784135241,0.5071521456436932,0.42002600780234073
-5,1,KNN,0.07672301690507152,0.5383615084525357,0.46163849154746417
-5,2,SVM-RBF,0.07672301690507152,0.2756827048114434,0.1989596879063719
-5,2,LinearSVM,0.07672301690507152,0.1755526657997399,0.09882964889466839
-5,2,LR,0.08712613784135241,0.505851755526658,0.41872561768530553
-5,2,KNN,0.07672301690507152,0.5422626788036411,0.46553966189856955
