classifier,bot40_mean,bot40_std,bot40_min,bot40_max,full_mean,full_min,gain_mean
SVM-RBF,0.9812767502567153,0.02641973487636835,0.92,1.0,0.9547064910433584,0.7893368010403121,0.026570259213357223
LinearSVM,0.9842368388482646,0.03149973171028024,0.893368010403121,1.0,0.9490121443212627,0.846553966189857,0.035224694527002165
LR,0.9916556944484474,0.010887367078556686,0.963076923076923,1.0,0.9759876465764589,0.846553966189857,0.015668047871988684
KNN,0.9821728608978174,0.0221514330910352,0.9323076923076923,0.9986962190352021,0.9752369496159582,0.8595578673602081,0.006935911281859136
