classifier,full_120,bot40,rand40,gain_bot40_vs_full
SVM-RBF,0.7893368010403121,0.9895968790637191,0.8612917208495882,0.20026007802340695
LinearSVM,0.846553966189857,0.893368010403121,0.8439531859557867,0.04681404421326396
LR,0.846553966189857,0.988296488946684,0.8955353272648461,0.14174252275682697
KNN,0.8595578673602081,0.9934980494148244,0.9111400086692675,0.13394018205461633
